comment,replies,date,user_name,cleaned_comment,sentiment
I am a Bangladeshi citizen but now I am abroad MrBeast want to meet,[],2024-12-05T16:07:17Z,@omitehasan1211,I am a Bangladeshi citizen but now I am abroad MrBeast want to meet,"[{'label': 'neutral', 'score': 0.6813062429428101}]"
Waw,[],2024-12-05T16:07:14Z,@ChirazLoudjedi,Waw,"[{'label': 'amusement', 'score': 0.5935642719268799}]"
Why they are speaking Bengali?,[],2024-12-05T16:07:08Z,@Hasib-u9d,Why they are speaking Bengali,"[{'label': 'neutral', 'score': 0.96113121509552}]"
Messi n Ronalbo,[],2024-12-05T16:06:36Z,@НазарбекНусратжонов,Messi n Ronalbo,"[{'label': 'neutral', 'score': 0.99980229139328}]"
Кто русский ❤,[],2024-12-05T16:06:31Z,@Рахима-к6п,Кто русский,"[{'label': 'neutral', 'score': 0.9997140765190125}]"
Anyone Support me ❤❤❤😢😢😢,[],2024-12-05T16:06:26Z,@Unwanted_Gaming01,Anyone Support me,"[{'label': 'enthusiasm', 'score': 0.8616760969161987}]"
Roanldo😭😭😭😭,[],2024-12-05T16:06:10Z,@ОлегЛипаев-ю9е,Roanldo,"[{'label': 'neutral', 'score': 0.9682700037956238}]"
Mesi??,[],2024-12-05T16:05:48Z,@rasmusbeckstrom2282,Mesi,"[{'label': 'neutral', 'score': 0.9952331185340881}]"
Viens au gabon,[],2024-12-05T16:05:22Z,@Mastered123,Viens au gabon,"[{'label': 'neutral', 'score': 0.9986314177513123}]"
Мне кажется Ронолда спицальна   пройграл,[],2024-12-05T16:04:38Z,@aliyayestaeva9678,Мне кажется Ронолда спицальна пройграл,"[{'label': 'neutral', 'score': 0.947226345539093}]"
"""I am from Bangladesh and want to join your game. Please give me an opportunity.""",[],2024-12-05T16:04:29Z,@riktamony,I am from Bangladesh and want to join your game Please give me an opportunity,"[{'label': 'neutral', 'score': 0.9985721111297607}]"
Ronaldo❤❤❤❤,[],2024-12-05T16:03:52Z,@attranvan7435,Ronaldo,"[{'label': 'love', 'score': 0.6128832697868347}]"
❤,[],2024-12-05T16:03:27Z,@ronakgill,,"[{'label': 'Neutral', 'score': 1.0}]"
the kid saying he wants to lose for the charity to win is next level. what a champ,[],2024-12-05T16:03:16Z,@GeorgeZacharopoulos,the kid saying he wants to lose for the charity to win is next level what a champ,"[{'label': 'neutral', 'score': 0.999661922454834}]"
الجزائريين رونالدو يلزمه شوشع,[],2024-12-05T16:03:01Z,@Mr.D10366,الجزائريين رونالدو يلزمه شوشع,"[{'label': 'neutral', 'score': 0.9967183470726013}]"
Humilde el bicho,[],2024-12-05T16:01:51Z,@johanasanchez2538,Humilde el bicho,"[{'label': 'neutral', 'score': 0.9991794228553772}]"
"اتمنا اقبلك مستربيست❤ــــــ, 😭💔",[],2024-12-05T16:01:23Z,@يونسالحديدي-ر9ظ,اتمنا اقبلك مستربيستــــــ,"[{'label': 'neutral', 'score': 0.9984429478645325}]"
O Cristiano estava deixando ele ganhar,[],2024-12-05T16:00:45Z,@EmanuelaNascimento-n9w,O Cristiano estava deixando ele ganhar,"[{'label': 'neutral', 'score': 0.9995898604393005}]"
21:52 that guy couldn't believe he won 1 MILLION dollars,[],2024-12-05T16:00:33Z,@majidalaamri9741,2152 that guy couldnt believe he won 1 MILLION dollars,"[{'label': 'surprise', 'score': 0.999645471572876}]"
*Ozbeklar bormi* 🙌,[],2024-12-05T16:00:30Z,@UNBOXiNGNEW,Ozbeklar bormi,"[{'label': 'neutral', 'score': 0.9998520612716675}]"
😢😢,[],2024-12-05T15:59:55Z,@MDHasimRaja470,,"[{'label': 'Neutral', 'score': 1.0}]"
“You think you can hit the next three in a row?” NO HAHAHA appreciate the honesty 🎉 super humble ❤,[],2024-12-05T15:59:27Z,@Joanneyiuu,You think you can hit the next three in a row NO HAHAHA appreciate the honesty super humble,"[{'label': 'admiration', 'score': 0.9923762679100037}]"
"put someone against messi
theyll have no chance",[],2024-12-05T15:59:23Z,@ailifehacks1-d9e,put someone against messi theyll have no chance,"[{'label': 'neutral', 'score': 0.9915277361869812}]"
Congratulation sir 🎉🎉🎉,[],2024-12-05T15:59:06Z,@subhendrabepari9983,Congratulation sir,"[{'label': 'gratitude', 'score': 0.967560887336731}]"
My dream is to come to you,[],2024-12-05T15:58:50Z,@hasibjomadder9158,My dream is to come to you,"[{'label': 'desire', 'score': 0.9623375535011292}]"
❤,[],2024-12-05T15:58:28Z,@hariprasadb9265,,"[{'label': 'Neutral', 'score': 1.0}]"
Messi better,"[{'username': '@MdAzam-zt9dt', 'comment': 'Ronaldo Is better', 'date': '2024-12-05T15:57:18Z'}]",2024-12-05T15:57:18Z,@Shonk10,Messi better,"[{'label': 'approval', 'score': 0.38763514161109924}]"
Sir I would like to join your giveaway game,[],2024-12-05T15:57:02Z,@mahabharat3668-w5m,Sir I would like to join your giveaway game,"[{'label': 'desire', 'score': 0.8257867693901062}]"
Do fighting sports video,[],2024-12-05T15:56:55Z,@ProsperAugustine-o4e,Do fighting sports video,"[{'label': 'neutral', 'score': 0.9978660941123962}]"
I hope I'm the next one to face the goat,[],2024-12-05T15:56:37Z,@Alyounboy44,I hope Im the next one to face the goat,"[{'label': 'neutral', 'score': 0.9698910713195801}]"
en iyi video,[],2024-12-05T15:56:17Z,@tunahanmeral7963,en iyi video,"[{'label': 'neutral', 'score': 0.999923825263977}]"
"Hi mistor beast how are you, please can you throw me 1000 dolors 😢",[],2024-12-05T15:56:14Z,@zaqatala4120,Hi mistor beast how are you please can you throw me 1000 dolors,"[{'label': 'neutral', 'score': 0.975124180316925}]"
Khalid tienes la oportunidad de ganar $1.000.000 de dólares y CAMBIAR TU VIDA PARA SIEMPRE. MrBeast siendo MrBeast.,[],2024-12-05T15:56:06Z,@FGohanCastilloD,Khalid tienes la oportunidad de ganar 1000000 de dólares y CAMBIAR TU VIDA PARA SIEMPRE MrBeast siendo MrBeast,"[{'label': 'neutral', 'score': 0.999053418636322}]"
Mr Beast plz give me ps5,[],2024-12-05T15:55:57Z,@aayushnex,Mr Beast plz give me ps5,"[{'label': 'neutral', 'score': 0.8507694602012634}]"
كيف ترجمه والقناة أجنبية,[],2024-12-05T15:55:06Z,@abaskr8818,كيف ترجمه والقناة أجنبية,"[{'label': 'neutral', 'score': 0.9997438788414001}]"
CR7❤🎉🎉🎉,[],2024-12-05T15:54:32Z,@tsheposolomonseboni2175,CR7,"[{'label': 'neutral', 'score': 0.9973560571670532}]"
Best bhai support karo😢😢,[],2024-12-05T15:53:59Z,@Aksmartexperiment-k2j,Best bhai support karo,"[{'label': 'worry', 'score': 0.9669705629348755}]"
Siuuu,[],2024-12-05T15:53:59Z,@excal1414,Siuuu,"[{'label': 'amusement', 'score': 0.7085594534873962}]"
Я так жду это видооооооооо,[],2024-12-05T15:52:56Z,@FarzonaAzamova-b8u,Я так жду это видооооооооо,"[{'label': 'neutral', 'score': 0.8724581003189087}]"
these videos are crazier and crazier,[],2024-12-05T15:52:23Z,@viktors89,these videos are crazier and crazier,"[{'label': 'neutral', 'score': 0.9999043941497803}]"
Ha,[],2024-12-05T15:51:41Z,@Lucas-b9i,Ha,"[{'label': 'neutral', 'score': 0.9987123012542725}]"
Será que a série vai estar dublada para português Brasil ?,[],2024-12-05T15:51:31Z,@Mosiasopescador,Será que a série vai estar dublada para português Brasil,"[{'label': 'neutral', 'score': 0.9991274476051331}]"
"Mister Beast, do you know the country of Karakalpakstan? If you can come, I would be glad.",[],2024-12-05T15:51:29Z,@musa-2012,Mister Beast do you know the country of Karakalpakstan If you can come I would be glad,"[{'label': 'joy', 'score': 0.7295579314231873}]"
yo bro i want 1 mill dollars i in trinidad,"[{'username': '@kwiatek6767', 'comment': 'no', 'date': '2024-12-05T15:51:09Z'}]",2024-12-05T15:51:09Z,@jubaribertrand1041,yo bro i want 1 mill dollars i in trinidad,"[{'label': 'enthusiasm', 'score': 0.9093270301818848}]"
December 19th is my birthday and it would be the best thing in the world if you wish me a happy birthday my name is Juan Cruz thank you 🥹❤️‍🩹,[],2024-12-05T15:51:08Z,@juancruz-rz9rc,December 19th is my birthday and it would be the best thing in the world if you wish me a happy birthday my name is Juan Cruz thank you,"[{'label': 'love', 'score': 0.8332664370536804}]"
Ronaldo bilerek kaybetti bu arada,[],2024-12-05T15:50:51Z,@SametKarakurt-v5u,Ronaldo bilerek kaybetti bu arada,"[{'label': 'neutral', 'score': 0.5794988870620728}]"
🎉🎉,[],2024-12-05T15:50:13Z,@mdnoyonshak4016,,"[{'label': 'Neutral', 'score': 1.0}]"
Siuuuuu❤❤,[],2024-12-05T15:50:11Z,@NadimMahmud-gh9nj,Siuuuuu,"[{'label': 'amusement', 'score': 0.9615606665611267}]"
Cristiano Ronaldo muito humilde ajudando o cara ganhar ❤,[],2024-12-05T15:48:30Z,@fabianodedeus240,Cristiano Ronaldo muito humilde ajudando o cara ganhar,"[{'label': 'neutral', 'score': 0.999733030796051}]"
Ronado nhả,[],2024-12-05T15:47:32Z,@HoangNguyen-nr1gb,Ronado nhả,"[{'label': 'worry', 'score': 0.7308396697044373}]"
🎉 el 19 de diciembre es mi cumpleaños regálame algo soi tu fan 🎉🎉,[],2024-12-05T15:46:58Z,@BrandonManuelBustos,el 19 de diciembre es mi cumpleaños regálame algo soi tu fan,"[{'label': 'neutral', 'score': 0.9994930028915405}]"
ê ko có j đâu nm ông ronadol t nghĩ ổng nhường á chứ ko thk kia thua mom roi aaa,[],2024-12-05T15:46:50Z,@ChiNguyễn-l1l,ê ko có j đâu nm ông ronadol t nghĩ ổng nhường á chứ ko thk kia thua mom roi aaa,"[{'label': 'surprise', 'score': 0.5501051545143127}]"
🔥🔥🔥🔥,[],2024-12-05T15:46:46Z,@fernandotorres5614,,"[{'label': 'Neutral', 'score': 1.0}]"
Роналду лучший просто лучший ❤ 🇷🇺,[],2024-12-05T15:45:47Z,@dinomakers,Роналду лучший просто лучший,"[{'label': 'neutral', 'score': 0.9990990161895752}]"
Ronaldo is çakma,[],2024-12-05T15:45:20Z,@kartalturgut6492,Ronaldo is çakma,"[{'label': 'neutral', 'score': 0.999942421913147}]"
mrbeast is now so sucessful that even ronaldo said to sub mrbeast it's crazy,[],2024-12-05T15:44:39Z,@girirajthanvi9413,mrbeast is now so sucessful that even ronaldo said to sub mrbeast its crazy,"[{'label': 'neutral', 'score': 0.9497394561767578}]"
6:42,[],2024-12-05T15:44:26Z,@SocccerRecharge,642,"[{'label': 'neutral', 'score': 0.8541990518569946}]"
Wow,[],2024-12-05T15:44:19Z,@bradynanderson4907,Wow,"[{'label': 'excitement', 'score': 0.999911904335022}]"
He's the best quarter back not best aimer back,[],2024-12-05T15:44:07Z,@kelvin1.0,Hes the best quarter back not best aimer back,"[{'label': 'neutral', 'score': 0.9338909387588501}]"
Messi goat.,"[{'username': '@JesusAdrian2006', 'comment': 'Messi = 🥱🥱🥱🥱🥱😮\u200d💨😮\u200d💨😪😪', 'date': '2024-12-05T15:43:34Z'}]",2024-12-05T15:43:34Z,@pablomoyano7900,Messi goat,"[{'label': 'neutral', 'score': 0.5981011390686035}]"
Сделайте с баскетболистоми пожалуйста,[],2024-12-05T15:41:44Z,@БатуАманбай,Сделайте с баскетболистоми пожалуйста,"[{'label': 'neutral', 'score': 0.9996991157531738}]"
No offence but the golfer *not Bryson* but the contestant was a bit rude.,[],2024-12-05T15:41:43Z,@User_JackGFX,No offence but the golfer not Bryson but the contestant was a bit rude,"[{'label': 'disapproval', 'score': 0.907023012638092}]"
yes😊❤,[],2024-12-05T15:40:51Z,@LaweenDlshad,yes,"[{'label': 'approval', 'score': 0.9431016445159912}]"
Los mancos nunca ganan solo por suerte,[],2024-12-05T15:40:47Z,@BROLYSSJFASEGOD,Los mancos nunca ganan solo por suerte,"[{'label': 'neutral', 'score': 0.9998899698257446}]"
"Ronaldo is not the greatest player in the history of football, because Lionel Messi and Pelé exist.",[],2024-12-05T15:40:28Z,@murilosilgueiro7589,Ronaldo is not the greatest player in the history of football because Lionel Messi and Pelé exist,"[{'label': 'neutral', 'score': 0.9941787719726562}]"
"@MrBeast bro please gift me a acoustic guitar 🥺, love from india🥺❤️",[],2024-12-05T15:40:15Z,@MsShort520,MrBeast bro please gift me a acoustic guitar love from india,"[{'label': 'love', 'score': 0.9997841715812683}]"
"Messi is the god of football.
🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐⚽",[],2024-12-05T15:38:58Z,@Milad.11,Messi is the god of football,"[{'label': 'neutral', 'score': 0.9254864454269409}]"
Messi es mejor,[],2024-12-05T15:37:53Z,@elestichrit7455,Messi es mejor,"[{'label': 'neutral', 'score': 0.9995866417884827}]"
How we see in hindi,[],2024-12-05T15:37:43Z,@CREATIVE_ARTS7,How we see in hindi,"[{'label': 'curiosity', 'score': 0.999976396560669}]"
I just came here to downvote this dude,[],2024-12-05T15:37:01Z,@japas,I just came here to downvote this dude,"[{'label': 'anger', 'score': 0.9707480072975159}]"
Cristiano          💸Ha💸HA💸HA💸HA💸HA💸HA💸HA💸,[],2024-12-05T15:36:53Z,@RannielMarte-k2r,Cristiano HaHAHAHAHAHAHA,"[{'label': 'happiness', 'score': 0.9765014052391052}]"
Greatest content creator ❤,[],2024-12-05T15:36:20Z,@mhmad411,Greatest content creator,"[{'label': 'admiration', 'score': 0.9994031190872192}]"
Queria ganhar dólar 💲💲,[],2024-12-05T15:36:12Z,@davilouzadafernandes,Queria ganhar dólar,"[{'label': 'neutral', 'score': 0.700559139251709}]"
❤❤🎉🎉😂,[],2024-12-05T15:35:59Z,@susanacespedes5369,,"[{'label': 'Neutral', 'score': 1.0}]"
RONALDO🐐🐐💀☠️🥶,[],2024-12-05T15:35:22Z,@kadamanchisrinusrinu2880,RONALDO,"[{'label': 'love', 'score': 0.6128832697868347}]"
J LIKE MESSI BETTER,[],2024-12-05T15:35:13Z,@MohammadJawad-gj3my,J LIKE MESSI BETTER,"[{'label': 'neutral', 'score': 0.6202840805053711}]"
"Hello Mr Beast, I want to participate in one of your videos, I live in Colombia. I have a YouTube channel called Pipecrack, Thanks",[],2024-12-05T15:34:49Z,@pipedogdayxd,Hello Mr Beast I want to participate in one of your videos I live in Colombia I have a YouTube channel called Pipecrack Thanks,"[{'label': 'neutral', 'score': 0.7097001671791077}]"
❤❤🎉🎉😂,[],2024-12-05T15:34:41Z,@susanacespedes5369,,"[{'label': 'Neutral', 'score': 1.0}]"
Amazing video MrBeast,[],2024-12-05T15:34:40Z,@Quizy_y,Amazing video MrBeast,"[{'label': 'love', 'score': 0.9112743735313416}]"
From counting to 100k to being the most famous in the world,[],2024-12-05T15:34:28Z,@jomela8152,From counting to 100k to being the most famous in the world,"[{'label': 'neutral', 'score': 0.9998613595962524}]"
eee,[],2024-12-05T15:33:56Z,@shaywozgf3689,eee,"[{'label': 'neutral', 'score': 0.45674678683280945}]"
cr7 the best ! goat,[],2024-12-05T15:33:38Z,@thanosunivers470,cr7 the best goat,"[{'label': 'neutral', 'score': 0.8268070816993713}]"
Suiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,[],2024-12-05T15:32:31Z,@sultanalbalooshi9265,Suiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,"[{'label': 'worry', 'score': 0.9678896069526672}]"
Where is cricket player?,[],2024-12-05T15:32:10Z,@MrRHO_YT,Where is cricket player,"[{'label': 'curiosity', 'score': 0.9988304972648621}]"
Критично Роналдо❤,[],2024-12-05T15:31:46Z,@ВоваБатуева-б5п,Критично Роналдо,"[{'label': 'neutral', 'score': 0.9905534386634827}]"
ไทยแลนด์ โว้ยยยยย,[],2024-12-05T15:31:07Z,@JOE_CHELSEA22,ไทยแลนด โวยยยยย,"[{'label': 'neutral', 'score': 0.9984664916992188}]"
like si querias que apareciera messi,[],2024-12-05T15:30:12Z,@christianbada3269,like si querias que apareciera messi,"[{'label': 'neutral', 'score': 0.9997875094413757}]"
big fan Cristiano 🎉,[],2024-12-05T15:30:09Z,@KAZIGAMIMG,big fan Cristiano,"[{'label': 'neutral', 'score': 0.9559019207954407}]"
"2:57 Mr. Beast siempre haciéndonos reír 😂😂
10:46 😏😏",[],2024-12-05T15:30:09Z,@ChaosGamer1000,257 Mr Beast siempre haciéndonos reír 1046,"[{'label': 'neutral', 'score': 0.9997292160987854}]"
0:17,[],2024-12-05T15:30:06Z,@JoydharswpanJoydharswpan,017,"[{'label': 'empty', 'score': 0.6323522329330444}]"
Please send me your chocolates I love lt so much ❤❤❤❤❤❤❤❤❤,[],2024-12-05T15:29:35Z,@hussainalibandesha7580,Please send me your chocolates I love lt so much,"[{'label': 'love', 'score': 0.9998331069946289}]"
🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷,[],2024-12-05T15:29:22Z,@HayriyeDuman-sc7rg,,"[{'label': 'Neutral', 'score': 1.0}]"
Don't let ishowspeed see this,[],2024-12-05T15:29:09Z,@Sonic-v1w,Dont let ishowspeed see this,"[{'label': 'disapproval', 'score': 0.9998156428337097}]"
I love Ronaldo,[],2024-12-05T15:29:07Z,@tashamujeni731,I love Ronaldo,"[{'label': 'love', 'score': 0.999845027923584}]"
They aren’t even trying to,[],2024-12-05T15:28:47Z,@D1James-17,They arent even trying to,"[{'label': 'neutral', 'score': 0.9999573230743408}]"
मुझे मिलना हे❤❤❤,[],2024-12-05T15:28:43Z,@ShankarVlog-km4uu,मझ मलन ह,"[{'label': 'neutral', 'score': 0.9993599057197571}]"
Messi is the best,[],2024-12-05T15:28:40Z,@vadimbelot3403,Messi is the best,"[{'label': 'admiration', 'score': 0.999961256980896}]"
Cr7,[],2024-12-05T15:28:36Z,@laljigori6955,Cr7,"[{'label': 'neutral', 'score': 0.9973560571670532}]"
Hersheys beter feastables,[],2024-12-05T15:28:13Z,@magicalfruitrees3361,Hersheys beter feastables,"[{'label': 'happiness', 'score': 0.9262445569038391}]"
🎉,[],2024-12-05T15:28:13Z,@herisboat5001,,"[{'label': 'Neutral', 'score': 1.0}]"
19 december anniversaire🎉🎉🎉🎉🎉,[],2024-12-05T15:28:05Z,@DenaiSwitch,19 december anniversaire,"[{'label': 'empty', 'score': 0.8974802494049072}]"
Big Justice seems like a nice kid,[],2024-12-05T15:27:54Z,@SeanDaNerd,Big Justice seems like a nice kid,"[{'label': 'neutral', 'score': 0.7744263410568237}]"
"Ronaldo was very supportive, I love him very much",[],2024-12-05T15:27:51Z,@YousefIbrahim-e2g,Ronaldo was very supportive I love him very much,"[{'label': 'love', 'score': 0.9992673993110657}]"
❤❤❤❤,[],2024-12-05T15:27:41Z,@freefireupdategamer2692,,"[{'label': 'Neutral', 'score': 1.0}]"
why December 19!? i have exams 😢,[],2024-12-05T15:27:28Z,@YOUSHALLONOWPAIN,why December 19 i have exams,"[{'label': 'sadness', 'score': 0.9973388314247131}]"
Messi❤,[],2024-12-05T15:27:27Z,@СергейМакеев-е3г,Messi,"[{'label': 'neutral', 'score': 0.997452437877655}]"
Best Game,[],2024-12-05T15:27:18Z,@lakhantudu8142,Best Game,"[{'label': 'admiration', 'score': 0.9979410767555237}]"
I love ronaldo I'm being fun 😊😊,[],2024-12-05T15:26:58Z,@ericvlog7496,I love ronaldo Im being fun,"[{'label': 'love', 'score': 0.9997653365135193}]"
i do not love ronaldo😊,[],2024-12-05T15:26:38Z,@MINEKNIGHT,i do not love ronaldo,"[{'label': 'love', 'score': 0.9420202970504761}]"
If you really think you are greatest youtuber then bring virat kohli and cristiano ronaldo together,[],2024-12-05T15:26:16Z,@sarveshganachari8026,If you really think you are greatest youtuber then bring virat kohli and cristiano ronaldo together,"[{'label': 'neutral', 'score': 0.9999558925628662}]"
On the 19th is my BIRTHDAY bro!!!!,[],2024-12-05T15:26:05Z,@AyomideOlaribigbe-q9s,On the 19th is my BIRTHDAY bro,"[{'label': 'joy', 'score': 0.9926432967185974}]"
UR CRISTANO,[],2024-12-05T15:25:23Z,@WARRIOR-FOT7,UR CRISTANO,"[{'label': 'neutral', 'score': 0.9972211122512817}]"
Mrbeast sir you missed the legendary cricket player THE VIRAT KOHLI Plz invite next time,[],2024-12-05T15:25:14Z,@Crackneet20252,Mrbeast sir you missed the legendary cricket player THE VIRAT KOHLI Plz invite next time,"[{'label': 'neutral', 'score': 0.9961450099945068}]"
🇸🇦💪💪💪🇸🇦🇸🇦🇸🇦🇸🇦💪💪🇸🇦🤝🇷🇺🤝🇵🇸,[],2024-12-05T15:25:12Z,@user-fk8xu2ht3l,,"[{'label': 'Neutral', 'score': 1.0}]"
"Hi, Mr Beast, I would like to join on of your challenges hope you can at least help me achieve one of my dreams and help my family financially and I have already subscribed to your channel and followed you on your social media platforms thank you!!",[],2024-12-05T15:24:18Z,@latifayussuf4965,Hi Mr Beast I would like to join on of your challenges hope you can at least help me achieve one of my dreams and help my family financially and I have already subscribed to your channel and followed you on your social media platforms thank you,"[{'label': 'love', 'score': 0.7605795860290527}]"
MR BEAST GOAT!,[],2024-12-05T15:23:53Z,@guilhermecardosodasilvasil914,MR BEAST GOAT,"[{'label': 'neutral', 'score': 0.9968754053115845}]"
The next episode is on my birthday day,[],2024-12-05T15:23:25Z,@ZoyaFatima-le7vq,The next episode is on my birthday day,"[{'label': 'joy', 'score': 0.9588292241096497}]"
Дай пж на недельку 100000 долларов пжпжпжпж,[],2024-12-05T15:23:06Z,@Horemi_132,Дай пж на недельку 100000 долларов пжпжпжпж,"[{'label': 'neutral', 'score': 0.9973466396331787}]"
SIUUUUUU,[],2024-12-05T15:23:04Z,@Enzofrancagoncalves1392,SIUUUUUU,"[{'label': 'amusement', 'score': 0.9714420437812805}]"
unbelievable😮😮😮😮,[],2024-12-05T15:22:57Z,@SujAnushaSA,unbelievable,"[{'label': 'admiration', 'score': 0.9993545413017273}]"
WOW,[],2024-12-05T15:22:45Z,@teamobts,WOW,"[{'label': 'excitement', 'score': 0.999911904335022}]"
Cuando dicen el mejor del mundo en soccer pensé saldrá Messi 😢,[],2024-12-05T15:21:55Z,@joseluisperez1475,Cuando dicen el mejor del mundo en soccer pensé saldrá Messi,"[{'label': 'neutral', 'score': 0.9999475479125977}]"
@,[],2024-12-05T15:21:51Z,@SHANTOfire,,"[{'label': 'Neutral', 'score': 1.0}]"
😍😍😍,[],2024-12-05T15:21:31Z,@AKaiGamingTV2007,,"[{'label': 'Neutral', 'score': 1.0}]"
"Siuuuuu.......
CR7❤️❤️❤️",[],2024-12-05T15:21:04Z,@MelodySaad069,Siuuuuu CR7,"[{'label': 'amusement', 'score': 0.9489712715148926}]"
কিছু টাকা লাগবে আমার দিবেন আমাকে আমি গরিব 😭,[],2024-12-05T15:20:56Z,@RafiHossain-h4d,কছ টক লগব আমর দবন আমক আম গরব,"[{'label': 'neutral', 'score': 0.9999147653579712}]"
Ronaldo the goat then messi is fastfood worker? Lol Americans,[],2024-12-05T15:20:15Z,@lethalninja596,Ronaldo the goat then messi is fastfood worker Lol Americans,"[{'label': 'happiness', 'score': 0.9116955995559692}]"
Обрадуйте меня пожалуйста с этим деньгами❤❤❤❤❤❤,[],2024-12-05T15:20:15Z,@КавракКурбонов,Обрадуйте меня пожалуйста с этим деньгами,"[{'label': 'neutral', 'score': 0.9994634985923767}]"
Can I get a like for mr beast😅,[],2024-12-05T15:20:05Z,@__STAR__FF_777,Can I get a like for mr beast,"[{'label': 'curiosity', 'score': 0.9804458022117615}]"
Huat❤❤❤❤🎉,[],2024-12-05T15:19:47Z,@Smnath12,Huat,"[{'label': 'neutral', 'score': 0.9992079138755798}]"
Siuuuuuuuuuuuu,[],2024-12-05T15:19:38Z,@FREAK-i1l,Siuuuuuuuuuuuu,"[{'label': 'amusement', 'score': 0.9891158938407898}]"
Pls bring Chandler we need him,[],2024-12-05T15:19:13Z,@eaglegamer9466,Pls bring Chandler we need him,"[{'label': 'surprise', 'score': 0.6380566358566284}]"
Oh ❤❤,[],2024-12-05T15:18:36Z,@sadiqamin,Oh,"[{'label': 'neutral', 'score': 0.999583899974823}]"
Веселитесь всегда❤❤❤❤❤❤,[],2024-12-05T15:18:22Z,@КавракКурбонов,Веселитесь всегда,"[{'label': 'neutral', 'score': 0.977681040763855}]"
"나는 최고의 축구 선수이기 때문에 
👇",[],2024-12-05T15:17:38Z,@Абобусшаурма,나는 최고의 축구 선수이기 때문에,"[{'label': 'neutral', 'score': 0.9997574687004089}]"
"Господи, во сколько он ему обошёлся😮","[{'username': '@БогданКолісник-ы8и', 'comment': '1.400.000 $только награди', 'date': '2024-12-05T15:17:37Z'}]",2024-12-05T15:17:37Z,@АрсенийКашко-ь4ю,Господи во сколько он ему обошёлся,"[{'label': 'neutral', 'score': 0.9920674562454224}]"
Love uuu❤ not english,[],2024-12-05T15:17:28Z,@MasratIrshad-lg7js,Love uuu not english,"[{'label': 'love', 'score': 0.9844834208488464}]"
Cr7 and mr beast best youtubers,[],2024-12-05T15:16:19Z,@mmammar9873,Cr7 and mr beast best youtubers,"[{'label': 'love', 'score': 0.9861481189727783}]"
Nice ❤❤❤❤❤❤,[],2024-12-05T15:16:17Z,@SULMANALl,Nice,"[{'label': 'admiration', 'score': 0.9999700784683228}]"
poor jonah,[],2024-12-05T15:16:09Z,@morgibeatzz,poor jonah,"[{'label': 'sadness', 'score': 0.9998133778572083}]"
"Imagine him in the future telling his grandkids, ""Kids, I played football with Cristiano... and I beat him!""",[],2024-12-05T15:16:05Z,@الشاعرمينافكتور,Imagine him in the future telling his grandkids Kids I played football with Cristiano and I beat him,"[{'label': 'sadness', 'score': 0.520679235458374}]"
Very Good Video 👏😊,[],2024-12-05T15:15:59Z,@UM_GAMER_1,Very Good Video,"[{'label': 'admiration', 'score': 0.999920129776001}]"
video is crazzzy,[],2024-12-05T15:15:58Z,@jojoshweppes4236,video is crazzzy,"[{'label': 'surprise', 'score': 0.5596295595169067}]"
Khalid!!!,[],2024-12-05T15:15:04Z,@hanamontirtayo,Khalid,"[{'label': 'worry', 'score': 0.8876460790634155}]"
Ronaldo🎉,[],2024-12-05T15:15:03Z,@FutGui,Ronaldo,"[{'label': 'love', 'score': 0.6128832697868347}]"
Speed must be smashing his computer after watching this😂😂,[],2024-12-05T15:14:30Z,@Sweatno1,Speed must be smashing his computer after watching this,"[{'label': 'neutral', 'score': 0.9999029636383057}]"
Bro beat Ronaldo 😂,[],2024-12-05T15:13:42Z,@Mommyzoroisgoat,Bro beat Ronaldo,"[{'label': 'neutral', 'score': 0.9985055923461914}]"
CBUM,[],2024-12-05T15:13:25Z,@daviazev,CBUM,"[{'label': 'worry', 'score': 0.8497062921524048}]"
mr beast pero no los maltrates  soy tu fan,[],2024-12-05T15:13:23Z,@MatthewBarzallo,mr beast pero no los maltrates soy tu fan,"[{'label': 'neutral', 'score': 0.8911850452423096}]"
Don't challenge like nothing I give you the challenge come to my country and climb the Mount Everest 🤝,[],2024-12-05T15:13:03Z,@ShoyaIshidiya,Dont challenge like nothing I give you the challenge come to my country and climb the Mount Everest,"[{'label': 'neutral', 'score': 0.9824017882347107}]"
Decemer 19. Is my birthday and i have to work😢😂,[],2024-12-05T15:13:00Z,@Soundwavewod,Decemer 19 Is my birthday and i have to work,"[{'label': 'sadness', 'score': 0.4055291414260864}]"
Nadie el emparejamiento de Clash Royale 🥵🥵,[],2024-12-05T15:12:24Z,@ManuelAquilesRamosHuerta,Nadie el emparejamiento de Clash Royale,"[{'label': 'worry', 'score': 0.737292468547821}]"
Видно же что Роналду потдаётся,[],2024-12-05T15:10:59Z,@АнеляСардиева-л9ь,Видно же что Роналду потдаётся,"[{'label': 'neutral', 'score': 0.9937841892242432}]"
Speed one 😂,[],2024-12-05T15:10:08Z,@Mommyzoroisgoat,Speed one,"[{'label': 'excitement', 'score': 0.8212032914161682}]"
